aX,aY,aZ 
-9.80,-2.19,0.25
-9.83,-2.11,0.07
-9.75,-2.18,0.27
-9.78,-2.16,0.44
-9.79,-2.01,0.16
-9.62,-2.08,0.36
-9.51,-2.04,0.34
-9.87,-2.16,0.52
-9.80,-2.03,0.76
-9.78,-2.03,0.71
-9.71,-2.07,0.67
-9.77,-2.01,0.87
-9.65,-2.02,0.86
-9.64,-2.09,0.79
-9.65,-1.93,1.20
-10.03,-1.90,1.19
-9.70,-1.75,1.10
-9.83,-1.74,1.30
-9.75,-1.79,1.24
-9.72,-1.74,1.31
-9.62,-1.72,1.43
-9.64,-1.72,1.52
-9.66,-1.70,1.34
-9.76,-1.83,1.54
-9.73,-1.78,1.50
-9.70,-1.63,1.62
-9.65,-1.67,1.45
-9.69,-1.65,1.56
-9.70,-1.62,1.64
-9.67,-1.59,1.57
-9.73,-1.75,1.59
-9.72,-1.70,1.50
-9.74,-1.71,1.39
-9.70,-1.68,1.47
-9.68,-1.70,1.40
-9.69,-1.70,1.53
-9.74,-1.71,1.54
-9.67,-1.61,1.50
-9.74,-1.72,1.58
-9.71,-1.73,1.58
-9.71,-1.75,1.49
-9.66,-1.70,1.41
-9.66,-1.72,1.41
-9.76,-1.74,1.49
-9.77,-1.65,1.43
-9.78,-1.78,1.38
-9.76,-2.02,1.57
-9.66,-2.39,1.83
-9.47,-2.72,1.98
-9.39,-3.44,2.09
-9.24,-3.88,2.00
-8.34,-5.12,3.96
-7.48,-5.21,3.87
-6.17,-5.70,4.89
-5.25,-6.05,5.59
-4.80,-5.85,6.49
-3.18,-6.24,6.75
-2.19,-6.19,7.16
-1.25,-6.13,8.02
-0.21,-5.79,7.79
0.69,-5.45,7.53
2.01,-5.18,7.60
2.81,-4.27,7.09
3.25,-3.99,6.81
2.83,-4.07,8.26
2.91,-3.53,9.23
3.08,-2.90,8.97
3.22,-1.98,8.80
3.39,-1.70,8.56
3.69,-1.09,8.94
4.30,-0.49,8.32
4.39,-1.08,7.35
4.71,-0.47,8.17
4.81,-0.24,8.63
4.96,0.57,8.00
4.92,0.37,9.09
4.67,1.36,8.80
4.31,1.15,7.96
3.71,0.24,7.48
3.28,0.92,9.42
0.91,-1.25,8.40
0.12,-0.77,10.54
-2.35,-0.27,9.45
-5.08,-0.34,8.98
-7.54,-0.43,6.74
-7.74,-0.41,7.56
-8.62,-0.47,5.05
-8.98,-0.32,5.08
-9.09,-0.55,6.81
-8.13,0.12,7.74
-5.85,0.93,7.85
-2.79,1.55,8.78
-0.52,0.41,8.73
1.19,0.04,8.42
2.07,0.11,9.59
4.36,1.03,9.28
2.47,-0.05,7.21
3.78,-0.51,8.81
5.01,2.04,8.65
2.92,2.31,8.79
2.21,3.09,9.79
1.19,1.17,9.89
0.42,0.42,6.67
-1.34,-1.00,7.49
-4.23,-0.86,10.54
-7.82,-0.55,5.49
-9.57,-1.75,4.46
-9.74,-2.36,3.97
-8.69,-1.53,5.90
-7.24,-1.00,8.05
-2.47,-1.24,8.67
2.25,0.23,8.29
3.37,0.20,8.35
3.67,2.81,8.95
2.28,1.23,8.37
-1.15,-0.37,8.36
-4.05,-1.64,8.06
-7.83,-1.49,7.73
-10.96,-1.64,4.94
-9.41,-0.53,4.77
-9.66,-0.88,7.27
-9.33,-0.81,8.50
-7.50,-0.55,9.33
-4.08,0.23,9.32
-0.49,0.10,8.24
3.90,-0.01,6.88
6.15,-1.14,5.89
7.43,-2.60,5.91
7.21,-3.61,3.50
6.69,-4.10,3.40
6.82,-3.57,4.87
6.47,-1.70,6.46
6.24,-0.80,7.31
4.96,-0.22,6.07
