aX,aY,aZ 
1.83,-1.64,9.11
1.92,-1.61,9.51
2.13,-2.03,9.38
1.76,-1.14,8.98
1.47,-0.55,8.96
1.58,2.17,8.32
-12.67,-2.60,14.48
-7.06,-8.73,16.37
-31.95,0.09,15.76
-12.87,39.24,3.85
-16.28,-27.16,6.13
-23.20,-21.14,12.66
-7.51,-10.35,10.70
-10.34,8.27,14.14
-9.79,35.05,5.01
-10.15,-12.46,1.06
-28.98,-2.40,5.27
-14.04,-10.54,-9.96
-2.26,-10.42,3.80
-1.49,-2.42,1.00
-0.28,6.07,11.94
-1.24,10.74,14.86
-4.27,17.58,-14.63
-12.34,-16.74,7.81
-8.37,-6.69,5.53
-6.94,-9.77,11.25
-5.28,-3.64,1.29
-1.16,14.18,16.46
5.27,-7.06,3.50
-9.14,-12.12,0.92
-11.29,-10.08,-3.55
-15.04,-9.05,3.71
-11.29,-6.22,5.90
3.87,-3.62,-2.24
0.89,5.31,15.87
3.76,-10.14,-3.13
4.06,-11.19,-0.00
3.76,-8.65,9.13
3.55,-4.92,6.71
3.58,-2.85,8.25
5.37,-10.47,18.36
-4.72,6.94,-11.53
10.27,-39.16,39.24
-6.55,6.34,-9.03
-37.13,19.76,20.98
-3.58,-8.94,20.36
-6.04,12.18,-18.39
-3.68,-4.18,33.13
-3.57,1.46,10.34
-0.20,-5.31,6.59
0.22,-6.23,7.51
