aX,aY,aZ 
4.11,7.04,7.48
3.64,6.87,7.58
3.52,6.84,7.46
3.75,6.87,7.42
3.73,6.93,7.46
3.61,6.93,7.54
3.75,6.86,7.56
3.66,7.04,7.38
3.62,7.11,7.42
3.73,7.00,7.50
3.56,7.13,7.48
3.55,7.20,7.53
3.45,7.20,7.46
3.39,7.15,7.25
3.37,7.25,7.27
3.19,7.43,7.38
3.13,7.48,7.40
3.16,7.26,7.55
3.27,7.33,7.43
3.01,7.48,7.39
2.85,7.54,7.35
3.09,7.45,7.42
2.96,7.28,7.38
3.04,7.50,7.58
2.96,7.47,7.64
2.96,7.20,7.72
2.94,7.17,7.72
3.03,7.15,7.60
3.06,6.96,7.62
2.73,7.15,7.57
2.84,6.77,7.65
2.86,6.79,7.73
2.57,6.96,7.70
2.57,6.96,7.70
2.61,6.81,7.79
2.61,6.81,7.79
2.76,6.82,7.91
2.77,6.83,7.94
2.85,6.58,7.94
2.74,6.53,7.92
3.07,6.68,7.87
3.09,6.57,8.02
3.17,6.00,7.69
3.17,6.00,7.69
3.74,5.98,7.99
4.16,5.79,8.15
4.97,5.88,7.72
4.97,5.88,7.72
5.25,5.44,7.69
5.32,5.24,7.72
6.32,4.93,7.76
6.70,4.77,7.59
6.98,4.69,7.23
7.04,4.73,6.97
7.84,3.95,6.74
8.15,3.76,6.76
8.05,3.94,6.35
8.36,3.89,6.25
9.01,4.60,6.01
9.10,4.76,5.92
8.74,4.68,5.58
8.68,4.95,5.57
8.82,5.17,5.60
8.96,4.93,5.79
8.33,5.16,5.57
8.10,4.43,5.94
8.06,4.32,5.97
8.84,3.99,5.72
8.55,3.90,5.67
8.10,4.75,6.08
7.96,5.06,5.91
7.84,4.89,5.93
7.39,5.12,5.84
7.73,4.12,5.35
8.63,4.77,5.66
8.18,4.22,5.22
8.24,5.18,5.61
7.66,4.98,5.76
6.97,5.12,5.90
7.40,4.66,6.15
7.64,3.81,6.15
8.79,5.00,5.63
8.96,4.24,5.86
9.31,4.78,5.04
9.83,4.42,4.68
10.77,3.62,4.27
10.40,4.25,4.33
10.48,4.14,4.50
9.63,4.44,5.30
9.08,4.35,5.74
8.13,3.28,6.28
7.80,3.59,6.64
7.80,3.59,6.64
7.14,4.01,7.02
6.93,4.01,7.08
6.64,4.10,7.11
6.60,4.16,6.99
6.09,4.57,6.82
6.15,4.77,6.71
6.02,5.55,6.51
5.94,5.77,6.50
5.46,5.74,5.69
5.46,5.74,5.69
5.37,6.78,5.61
5.45,7.17,5.53
5.33,7.35,5.43
5.29,7.38,5.31
5.06,8.43,5.02
4.88,8.86,4.90
4.38,9.56,4.53
4.40,9.67,4.44
4.03,9.57,4.02
3.93,9.68,3.79
3.37,9.81,3.36
3.32,9.85,3.37
3.44,9.80,3.83
3.61,9.81,4.23
4.21,10.71,5.71
4.30,10.93,5.97
4.21,11.51,6.94
4.27,11.62,7.11
3.74,10.61,6.47
3.55,10.33,6.30
2.91,10.02,5.92
2.76,9.87,5.72
1.50,9.78,5.58
1.50,9.78,5.58
0.86,9.66,6.74
0.92,9.74,6.77
0.90,10.98,6.89
1.05,11.20,6.72
0.13,10.38,6.06
0.06,10.36,5.87
0.09,10.87,5.11
0.24,10.89,5.26
0.65,10.41,5.00
0.66,10.19,4.80
0.45,9.08,4.70
0.61,8.80,4.80
0.65,8.46,4.88
0.65,8.46,4.88
0.75,8.10,4.21
0.86,8.23,4.09
0.58,7.88,3.63
0.44,7.83,3.64
0.13,9.10,2.67
0.37,9.30,2.47
-0.01,9.02,2.62
0.09,8.57,2.67
0.66,9.76,2.78
-1.40,11.65,0.31
-0.79,11.27,1.10
0.50,8.32,1.49
-0.36,10.01,1.23
-1.21,10.25,1.29
-1.09,9.97,0.50
-1.91,10.10,1.24
-1.53,9.59,1.57
-0.85,10.46,1.91
-1.56,10.45,1.68
-1.76,10.48,1.82
-2.15,10.63,1.84
-2.04,9.90,1.56
-1.92,10.78,1.21
-1.82,9.94,1.57
-1.97,10.06,1.52
-1.68,10.35,1.60
-2.05,10.27,1.84
-1.47,10.18,1.69
-1.43,10.10,1.25
-1.65,9.85,1.27
-1.97,10.63,1.36
-1.85,9.50,1.55
-1.59,10.26,1.52
-1.84,9.79,1.54
-1.78,10.24,1.40
-1.81,10.29,1.48
-1.92,10.26,1.42
-1.77,10.54,1.39
-1.82,10.38,1.33
-1.80,10.02,1.36
-1.88,10.09,1.34
-1.69,10.21,1.61
-1.74,10.24,1.72
-1.88,9.80,1.61
-1.88,9.92,1.48
-1.71,10.08,1.48
-1.71,10.08,1.48
-1.84,10.17,1.61
-1.73,10.20,1.52
-2.02,10.24,1.52
-2.02,10.24,1.52
-1.82,10.25,1.38
-1.85,10.26,1.34
-1.71,10.16,1.52
-1.71,10.16,1.52
-1.97,10.21,1.51
-1.94,10.12,1.49
-2.01,9.95,1.53
-1.89,10.05,1.53
-1.86,10.04,1.61
-1.86,10.04,1.61
-1.81,10.07,1.65
-1.88,10.13,1.68
-1.78,10.07,1.57
-1.77,10.06,1.65
-1.81,10.21,1.57
-1.84,10.25,1.66
-1.84,10.01,1.58
-1.89,9.97,1.63
-1.78,10.20,1.59
-1.73,10.18,1.59
-1.89,10.16,1.66
-1.90,10.10,1.71
-1.88,10.11,1.65
-1.93,10.13,1.66
-1.86,10.07,1.63
-1.84,10.02,1.55
-1.86,10.11,1.61
-1.95,10.02,1.57
-1.90,10.07,1.57
-1.91,10.13,1.52
-1.92,10.23,1.55
-1.81,10.24,1.59
