aX,aY,aZ 
-9.41,1.93,1.63
-9.49,1.83,1.49
-9.37,1.94,1.28
-9.32,1.84,1.38
-9.38,1.86,1.33
-9.32,1.98,1.38
-9.35,1.93,1.25
-9.35,1.93,1.25
-9.22,1.90,1.39
-9.24,1.84,1.35
-9.15,1.89,1.47
-9.21,1.77,1.43
-9.18,1.77,1.37
-9.20,1.88,1.43
-9.15,1.94,1.40
-9.18,1.93,1.36
-9.11,1.93,1.39
-9.40,1.90,1.34
-9.53,1.88,1.40
-9.11,2.06,1.20
-9.46,2.26,1.11
-9.40,2.30,1.11
-9.26,2.08,1.13
-9.26,2.04,0.96
-9.34,2.04,0.96
-9.25,2.33,0.68
-9.22,2.53,0.64
-9.17,2.56,0.68
-9.38,2.62,0.60
-9.46,2.40,0.68
-9.48,2.44,0.77
-9.39,2.07,0.68
-9.31,1.96,0.64
-9.39,1.91,0.62
-9.37,2.42,0.42
-9.38,2.35,0.43
-9.38,2.35,0.43
-9.29,2.36,0.44
-9.39,2.41,0.52
-9.35,2.62,0.52
-9.28,2.55,0.46
-9.44,2.49,0.53
-9.36,2.30,0.66
-9.32,2.27,0.73
-8.81,2.15,0.73
-9.06,2.30,0.68
-9.06,2.36,0.69
-9.04,2.46,1.11
-9.24,2.38,1.21
-9.17,2.33,1.17
-9.36,2.08,0.89
-9.00,1.97,0.94
-8.98,1.88,0.89
-9.33,1.82,0.50
-9.56,2.20,0.02
-9.51,2.11,-0.10
-9.45,1.67,-0.46
-9.07,2.73,-1.00
-9.14,2.76,-1.09
-9.76,3.89,-1.87
-9.51,3.36,-1.60
-9.50,3.28,-1.64
-9.29,3.64,-1.26
-9.44,3.52,-1.19
-9.68,3.30,-0.89
-9.50,3.38,-0.31
-9.42,3.34,-0.14
-8.96,2.82,-0.10
-10.00,3.52,0.18
-10.37,3.72,0.26
-11.17,3.55,1.44
-12.41,1.75,1.24
-12.32,1.67,1.36
-8.96,2.59,0.55
-7.35,2.38,0.38
-7.01,2.23,0.37
-5.58,1.16,0.59
-6.10,1.78,1.45
-6.18,1.82,1.67
-7.47,2.63,2.28
-8.98,2.29,2.70
-9.07,2.06,2.84
-9.46,0.19,3.53
-10.04,1.47,3.96
-10.84,1.64,3.97
-12.11,3.66,-1.09
-11.26,4.03,-1.57
-11.63,3.31,-1.79
-7.61,2.34,-1.66
-6.81,1.27,-1.02
-6.79,1.08,-1.02
-9.13,1.85,-0.37
-9.78,2.10,-0.02
-9.93,2.07,0.09
-11.45,1.71,0.99
-11.92,2.64,1.17
-12.27,2.99,1.19
-10.06,1.93,3.85
-6.91,3.72,3.92
-6.76,4.01,3.74
-9.04,1.59,1.68
-8.52,1.81,1.53
-6.88,1.48,0.79
-6.29,1.55,0.56
-6.29,1.55,0.56
-7.93,2.23,0.72
-8.48,2.21,0.77
-8.67,2.15,0.80
-10.82,2.72,1.19
-11.44,2.82,1.23
-13.15,3.18,1.44
-11.51,4.02,0.82
-10.98,3.75,0.59
-9.89,6.62,-4.48
-9.69,5.00,0.87
-8.26,4.78,-2.10
-5.80,2.60,-1.91
-5.89,3.17,-2.10
-6.33,3.26,-2.14
-9.37,3.92,-1.50
-11.97,4.63,-1.33
-13.49,5.83,0.00
-13.69,6.13,0.39
-11.93,5.59,3.27
-5.75,3.28,3.98
-6.34,3.09,3.95
-10.02,5.07,0.59
-8.35,2.42,1.01
-5.59,0.81,1.10
-3.60,0.28,0.81
-3.29,0.14,0.79
-4.54,0.67,0.37
-9.12,2.54,1.02
-9.62,2.50,1.10
-13.15,2.15,2.39
-13.80,2.06,2.82
-13.22,1.78,2.88
-12.31,2.04,1.76
-9.79,4.23,-0.04
-9.90,4.49,-0.28
-6.84,2.17,-0.02
-4.66,1.05,-0.01
-4.66,1.03,-0.01
-5.77,1.95,-0.34
-7.32,1.31,-0.26
-7.87,1.26,-0.10
-14.94,2.03,1.80
-15.32,2.20,1.98
-15.39,3.92,2.03
-13.06,3.68,2.13
-11.76,3.27,2.28
-8.26,4.19,1.81
-7.20,1.44,1.13
-6.52,0.84,1.10
-4.55,0.61,0.87
-4.93,0.59,0.74
-5.16,0.56,0.72
-8.70,0.64,1.69
-12.03,1.25,2.04
-12.75,1.42,2.25
-16.62,2.99,2.21
-12.47,4.21,1.65
-10.93,4.31,1.31
-9.90,3.57,-0.04
-6.79,1.79,0.05
-6.11,1.38,0.03
-4.52,1.85,-0.43
-6.64,1.31,-0.45
-6.95,1.05,-0.31
-11.10,0.62,0.73
-14.16,2.10,1.73
-14.12,2.30,1.93
-14.12,2.98,2.56
-9.36,0.88,2.62
-9.08,0.58,2.64
-9.33,3.26,2.00
-9.10,2.79,1.77
-4.98,0.37,0.89
-5.91,0.43,0.57
-6.14,0.40,0.69
-9.00,0.02,1.41
-11.89,0.91,1.36
-12.61,1.10,1.41
-16.94,1.92,1.73
-11.73,2.48,1.20
-9.85,2.49,1.16
-9.19,1.79,0.64
-8.50,1.52,0.05
-7.70,1.53,-0.01
-5.28,2.09,-0.43
-5.25,1.94,-0.54
-5.32,1.91,-0.66
-9.14,1.92,-0.23
-13.67,2.66,1.06
-14.47,2.98,1.32
-16.87,3.45,2.52
-13.01,3.22,3.30
-11.45,2.43,3.43
-8.04,6.18,0.40
-7.57,1.90,0.96
-7.03,1.36,0.96
-4.72,0.60,0.82
-5.41,0.80,0.58
-5.74,0.83,0.60
-7.66,0.32,1.56
-10.37,0.88,2.22
-12.97,1.98,2.90
-13.13,2.26,2.79
-14.91,2.90,1.90
-8.55,2.80,1.10
-8.99,2.87,0.89
-9.34,3.51,-0.02
-7.24,2.00,0.23
-6.41,1.76,0.29
-5.62,2.34,0.02
-6.73,1.71,-0.34
-6.84,1.59,-0.36
-12.19,1.88,0.79
-13.38,3.06,1.55
-12.62,3.24,1.69
-14.67,3.16,2.15
-9.94,0.79,3.06
-8.79,-0.21,2.74
-9.48,3.68,2.21
-6.73,0.50,1.37
-6.00,0.66,1.30
-4.82,0.91,0.98
-5.67,1.07,0.86
-6.00,1.05,0.90
-7.47,1.01,1.73
-10.49,1.44,1.89
-11.43,1.55,1.97
-15.56,2.72,2.18
-16.27,2.71,2.40
-14.30,2.74,2.68
-9.07,3.61,1.18
-8.87,3.60,0.29
-8.66,3.18,0.66
-5.81,2.49,0.36
-6.65,2.63,0.39
-6.85,2.41,-0.03
-8.31,1.55,0.34
-11.19,2.19,0.95
-12.00,2.40,1.12
-13.42,3.45,2.19
-15.52,3.67,2.84
-14.58,3.51,3.06
-7.40,1.83,3.17
-8.49,4.17,2.09
-8.21,3.37,1.99
-5.38,1.39,1.11
-5.90,1.17,0.91
-6.10,1.14,0.94
-7.06,0.48,1.25
-6.60,0.64,1.70
-6.55,0.77,1.73
-12.51,2.59,2.10
-13.64,3.24,2.27
-14.34,3.18,2.25
-8.82,4.30,1.47
-9.32,4.26,0.84
-9.45,4.27,0.65
-6.02,2.77,0.15
-6.34,2.54,-0.25
-6.66,2.43,-0.23
-7.76,1.16,-0.09
-8.63,0.56,0.41
-9.34,0.59,0.51
-11.10,2.04,1.86
-15.44,2.53,2.13
-15.28,2.77,2.32
-10.09,0.68,2.62
-7.89,3.77,2.50
-7.95,3.95,2.36
-6.79,1.05,1.43
-6.03,0.95,1.36
-5.98,0.93,1.34
-6.78,0.49,1.30
-7.43,0.29,1.56
-6.79,0.20,1.74
-6.76,0.02,1.68
-11.95,1.46,1.64
-14.28,2.36,1.65
-14.50,2.39,1.72
-11.11,2.41,1.47
-10.53,2.96,1.15
-10.48,2.60,0.99
-8.78,1.64,0.43
-6.87,2.40,0.14
-6.87,2.40,0.14
-6.68,2.34,-0.94
-7.61,2.11,-0.95
-7.63,2.00,-0.88
-11.29,2.26,0.31
-12.69,2.96,1.20
-12.10,3.10,1.48
-13.58,3.81,3.04
-9.78,0.95,3.65
-9.78,0.95,3.65
-7.80,1.07,2.97
-7.50,0.95,1.95
-6.37,1.60,1.48
-6.46,1.33,1.11
-6.52,1.51,0.97
-7.47,1.15,1.36
-6.52,1.28,1.19
-6.40,1.27,1.10
-9.52,1.62,1.12
-11.99,3.47,1.45
-12.97,3.78,1.47
-12.84,5.33,1.85
-8.48,4.35,1.58
-9.20,4.23,1.61
-9.17,2.80,0.67
-7.50,3.09,0.70
-7.26,3.52,0.66
-7.81,3.19,-0.21
-7.98,2.93,-0.25
-7.93,2.83,-0.24
-7.83,2.38,-0.12
-9.09,2.59,0.49
-9.51,2.22,0.57
-9.80,2.13,0.46
-14.07,3.20,3.39
-11.75,0.12,3.16
-10.87,0.20,2.86
-8.52,2.34,3.93
-7.35,2.96,2.14
-7.00,2.88,1.76
-5.10,1.10,1.14
-5.84,-0.10,1.59
-5.95,-0.37,1.75
-7.32,-1.09,2.38
-7.28,-1.76,3.09
-7.38,-1.70,3.21
-10.10,1.48,2.87
-15.26,3.33,3.05
-16.50,4.10,2.78
-10.73,4.03,2.52
-10.20,3.41,1.47
-10.13,2.99,1.47
-7.32,4.53,1.67
-6.73,4.44,-0.98
-6.84,2.67,0.50
-8.34,2.90,0.19
-9.06,2.21,0.40
-8.98,1.92,0.37
-8.60,1.21,0.75
-8.86,0.75,0.71
-8.91,1.00,0.93
-8.91,0.98,0.96
-9.99,1.65,1.46
-13.93,3.16,1.98
-14.33,3.38,2.17
-8.30,1.36,7.77
-9.02,3.92,3.37
-9.23,4.26,3.06
-8.16,2.04,2.18
-6.31,1.21,2.00
-6.08,1.00,1.98
-7.08,0.77,2.20
-8.44,1.36,2.39
-8.59,1.35,2.38
-9.10,0.73,2.46
-8.77,-0.64,2.60
-8.89,-0.11,2.34
-9.07,-0.01,2.34
-9.93,-0.04,2.51
-9.85,0.34,2.44
-10.15,0.62,2.38
-11.60,1.96,2.37
