mX,mY,mZ 
23.94,-63.09,-17.56
23.40,-62.91,-17.74
22.33,-64.70,-15.67
22.51,-64.88,-17.56
20.54,-65.06,-16.01
19.11,-67.21,-14.98
16.79,-66.67,-15.15
14.47,-67.93,-14.98
15.72,-68.46,-15.67
13.76,-69.00,-17.05
12.86,-68.82,-16.53
10.72,-69.18,-16.19
13.04,-71.15,-15.67
10.18,-69.72,-17.39
11.43,-68.46,-16.53
13.93,-69.54,-18.94
12.50,-69.54,-16.53
14.29,-68.82,-16.88
11.43,-69.18,-17.91
13.58,-68.46,-18.94
14.11,-68.28,-18.77
14.11,-67.93,-17.74
14.83,-67.93,-19.80
16.08,-68.11,-17.56
15.54,-66.13,-18.08
16.26,-65.78,-19.46
15.18,-67.93,-20.84
15.72,-65.95,-20.32
13.04,-68.28,-18.08
15.36,-66.67,-19.29
14.11,-67.93,-19.80
14.83,-67.21,-18.08
14.11,-68.28,-19.11
13.40,-68.64,-18.77
14.29,-69.54,-17.91
13.40,-69.00,-19.46
13.93,-67.75,-19.29
14.65,-67.03,-22.04
15.01,-68.11,-19.63
14.29,-68.11,-20.66
13.93,-67.75,-20.32
11.97,-67.93,-19.46
13.40,-68.28,-19.80
13.93,-68.46,-20.32
13.22,-67.75,-20.66
16.26,-62.55,-27.03
17.51,-63.45,-26.17
19.29,-64.16,-20.66
21.26,-62.19,-21.52
23.58,-61.65,-21.01
22.33,-61.12,-20.84
25.19,-60.76,-20.15
25.19,-61.12,-19.11
23.04,-61.12,-20.49
20.54,-64.34,-21.87
17.51,-65.60,-22.73
17.33,-64.34,-24.97
16.26,-61.83,-29.10
16.43,-61.29,-28.24
13.93,-58.79,-32.37
12.15,-59.50,-32.37
7.68,-61.83,-31.86
7.68,-65.78,-29.79
8.40,-66.49,-24.97
11.43,-68.46,-20.32
15.36,-68.11,-16.88
20.01,-67.39,-11.36
23.76,-67.21,-6.03
23.40,-67.21,-2.58
20.01,-67.39,4.82
22.69,-63.98,10.16
29.48,-56.10,12.91
34.12,-51.80,9.82
36.26,-48.57,8.78
36.62,-43.55,13.26
36.98,-38.53,13.26
36.62,-38.53,13.95
37.34,-36.02,11.88
38.05,-35.31,11.19
38.59,-30.47,8.61
39.84,-30.29,8.09
38.94,-34.05,8.95
38.05,-33.16,9.13
38.05,-32.80,10.50
37.34,-33.51,11.88
36.80,-34.77,12.40
37.69,-33.87,12.57
36.62,-30.65,7.40
37.69,-31.36,8.09
39.30,-32.26,6.89
40.37,-31.18,-0.34
38.59,-26.53,2.76
35.91,-22.76,7.40
35.37,-22.94,10.33
33.94,-24.37,11.02
33.41,-24.02,13.78
32.87,-31.18,16.19
32.69,-37.82,17.39
32.87,-45.88,14.12
30.90,-52.51,13.95
29.83,-58.25,7.40
27.69,-61.12,1.21
24.83,-65.06,-0.86
24.83,-64.70,-2.93
22.33,-65.06,-4.99
25.37,-63.45,-7.58
27.87,-62.37,-9.99
27.87,-61.29,-5.85
28.05,-59.68,-1.55
