mX,mY,mZ 
5.43,33.95,-41.94
4.83,33.64,-42.00
5.57,33.39,-42.46
4.32,31.87,-41.97
3.56,31.64,-42.48
4.11,21.89,-39.58
-5.83,27.20,-38.88
17.49,25.54,-38.65
38.79,11.62,-20.15
48.22,27.48,-12.92
-11.02,70.92,-5.25
-1.68,44.25,-40.44
41.08,38.49,-27.21
35.56,3.23,-7.73
43.24,37.54,18.75
-2.83,63.46,25.65
-31.74,40.06,-17.63
9.18,67.50,-27.93
22.88,59.13,-29.42
34.56,25.39,-31.01
17.31,23.44,-39.86
40.22,49.83,-22.31
19.73,53.28,31.29
-28.17,59.29,1.95
-21.09,35.34,-31.13
25.10,25.40,-36.39
25.27,13.77,-32.78
17.97,32.21,-39.17
30.57,66.10,7.12
2.91,68.97,22.08
-32.92,42.20,11.19
-28.33,35.57,-24.76
19.91,24.17,-36.49
18.52,16.35,-35.97
8.80,69.02,-19.57
6.56,75.84,-2.62
6.05,75.42,-7.73
7.96,60.39,-32.73
7.82,52.80,-38.21
6.82,50.52,-39.16
13.99,61.33,-31.32
31.68,66.65,-3.88
2.10,55.18,-34.56
31.38,62.87,11.46
-10.75,34.95,-37.24
18.51,62.27,-27.88
31.13,64.15,10.22
1.42,50.72,-38.56
-6.26,49.39,-37.33
-4.88,49.80,-37.82
-29.06,51.29,-11.33
-29.80,51.57,-10.73
-29.55,50.43,-11.08
-29.38,51.29,-10.53
-29.99,50.23,-10.61
-29.92,49.98,-10.64
-29.88,50.45,-10.44
-30.20,49.55,-10.11
-30.43,49.18,-9.99
-30.68,49.72,-9.77
-30.71,49.40,-10.97
-30.85,50.31,-7.85
-30.53,49.56,-7.98
-30.31,49.67,-7.62
-30.91,48.82,-7.63
-32.18,48.36,-6.70
-31.99,46.90,-7.21
-32.01,46.28,-7.20
-32.31,46.09,-5.71
-32.73,45.65,-6.35
-32.53,45.35,-6.35
-33.25,45.56,-6.20
-32.82,44.96,-5.77
-32.98,44.25,-4.80
-33.68,43.60,-6.53
-32.81,43.46,-6.98
-33.31,42.48,-6.31
-33.08,42.30,-5.62
-32.95,41.27,-4.85
-33.42,40.50,-6.19
-33.57,40.26,-5.60
-33.29,40.61,-6.73
-32.80,40.09,-6.21
-33.61,40.75,-7.36
-33.58,40.19,-5.85
-33.31,40.54,-6.14
-33.64,40.62,-6.74
-33.57,41.11,-5.94
-33.48,40.93,-5.82
-33.51,40.76,-5.93
-33.35,40.91,-7.42
-32.75,40.65,-6.26
-32.76,40.84,-6.54
-32.65,41.14,-6.07
-32.85,40.83,-7.14
-33.62,40.98,-5.98
-33.46,41.04,-6.62
-33.35,41.02,-6.86
-33.02,41.22,-4.33
-33.42,41.17,-7.19
-33.52,41.09,-6.75
-33.23,41.16,-5.88
-33.33,41.36,-6.23
-33.04,41.96,-5.26
-33.01,42.02,-5.97
-32.51,41.70,-6.95
-33.20,41.33,-6.32
-33.64,41.19,-6.20
-33.13,41.33,-5.80
-33.41,40.87,-5.85
-33.15,41.39,-6.87
-32.96,41.31,-5.96
-33.81,41.83,-6.04
-33.45,41.03,-6.03
-33.40,41.56,-6.86
-33.57,41.21,-7.03
-32.84,41.50,-5.40
-33.63,41.54,-6.15
-33.33,41.10,-6.57
-33.37,41.43,-6.27
-33.36,41.26,-6.97
-33.70,41.44,-6.79
-33.62,42.19,-7.04
-33.67,41.69,-5.58
-33.39,42.47,-6.51
-33.46,41.63,-5.91
-33.78,41.35,-6.37
-32.92,41.89,-6.32
-33.40,41.83,-5.96
-32.98,41.80,-4.58
-33.72,41.94,-5.66
-33.35,41.82,-5.11
-33.46,42.48,-4.94
-33.45,41.53,-5.53
-33.40,42.71,-5.02
