aX,aY,aZ 
-0.15,1.10,-0.15
25.20,6.19,8.25,-0.15,1.10,-0.15
25.20,6.19,8.25,-0.15,1.10,-0.15
20.02,1.04,2.42,-0.51,-1.52,1.71
-10.17,-4.06,-11.43,-0.63,-1.36,1.07
-15.22,-0.74,-23.96,0.85,-1.72,0.71
-6.47,-2.60,-11.56,1.04,-0.12,-0.01
-1.85,-2.53,-7.16,0.24,-0.26,0.18
-1.52,-4.89,-7.01,1.22,-0.97,0.29
-1.23,-4.38,-10.65,0.19,-0.87,0.18
-0.21,-3.81,-8.17,-0.35,-0.06,0.02
0.35,-3.40,-9.56,-0.07,-0.35,0.01
0.20,-3.62,-9.66,0.03,-0.14,0.03
0.64,-3.49,-8.92,-0.14,0.07,0.02
1.10,-2.99,-8.83,0.01,-0.02,-0.01
0.90,-3.71,-9.01,0.03,0.00,0.04
0.86,-3.12,-9.18,0.03,0.04,-0.05
1.04,-3.16,-8.69,0.04,0.05,0.04
0.90,-3.16,-8.74,-0.11,0.05,0.01
0.93,-3.02,-8.60,-0.16,0.10,0.01
1.03,-2.89,-8.24,-0.02,0.04,0.02
0.85,-2.85,-9.24,-0.01,-0.05,0.11
0.65,-3.45,-9.01,0.05,0.15,0.07
1.13,-2.99,-8.34,-0.04,0.16,0.04
1.04,-3.66,-8.48,-0.02,0.15,0.08
0.87,-2.96,-9.23,0.05,0.04,0.08
0.51,-3.34,-9.30,0.04,0.11,0.15
0.28,-2.79,-8.95,0.09,0.12,0.09
-0.16,-2.71,-7.75,0.08,-0.02,0.24
-0.74,-3.95,-9.29,-0.03,-0.20,0.20
-0.23,-3.04,-6.80,0.06,0.05,0.11
-0.24,-4.08,-9.75,-0.45,-0.31,0.21
-0.04,-3.99,-8.78,0.11,0.06,-0.01
0.38,-2.93,-7.99,-0.27,-0.04,-0.01
-0.17,-3.30,-9.56,-0.31,-0.20,0.05
0.39,-3.28,-9.45,-0.22,0.11,-0.08
0.44,-2.79,-8.50,-0.36,0.20,-0.11
1.13,-3.04,-10.06,-0.31,0.10,-0.08
1.00,-2.52,-8.08,0.05,0.41,-0.28
2.10,-2.45,-9.29,-0.16,0.25,-0.21
2.00,-3.32,-8.54,-0.25,0.44,-0.14
2.60,-1.87,-8.45,0.04,0.36,-0.37
2.66,-2.07,-8.61,-0.19,0.35,-0.16
2.48,-1.84,-8.38,0.06,0.34,-0.18
3.04,-2.05,-8.65,0.12,0.16,-0.14
2.44,-2.71,-8.75,0.18,0.09,-0.10
2.41,-2.14,-9.11,0.15,0.08,-0.10
1.94,-3.04,-8.36,0.31,0.16,-0.16
2.22,-3.12,-8.74,0.21,0.02,-0.22
2.13,-2.91,-9.43,0.19,-0.02,-0.21
3.16,-2.89,-7.73,0.02,0.24,-0.01
3.20,-2.63,-8.72,0.37,0.09,-0.14
3.19,-2.88,-8.46,0.06,0.18,0.06
3.04,-3.38,-8.62,0.15,0.15,-0.01
3.31,-2.50,-8.32,0.07,0.18,0.03
3.10,-2.89,-8.29,-0.27,0.15,0.22
3.19,-2.83,-8.90,-0.33,0.06,0.13
3.54,-2.93,-8.13,-0.25,0.15,0.10
3.92,-2.25,-7.90,-0.01,0.13,0.05
3.82,-2.82,-8.23,-0.13,0.06,0.19
15.35,-1.69,-15.41,-1.25,0.15,0.54
15.35,-1.69,-15.41,-1.25,0.15,0.54
15.35,-1.69,-15.41,-1.25,0.15,0.54
22.75,-4.76,-12.84,-2.02,1.92,1.12
25.78,-10.88,21.86,1.19,3.35,0.93
-0.48,-8.25,-14.54,-0.65,-3.86,0.96
-10.79,3.10,-23.18,0.45,-0.80,-0.78
-6.22,2.03,-8.67,-0.26,0.40,-0.38
-4.50,0.11,-10.41,-0.06,-0.64,-0.02
-3.28,-3.74,-5.30,0.93,-0.06,0.29
-2.61,-3.40,-7.02,0.72,-0.76,0.14
-3.06,-3.79,-7.52,-0.10,-0.25,0.17
-2.01,-3.82,-8.82,-0.19,-0.46,0.07
-1.51,-5.07,-9.26,0.46,-0.20,0.10
-0.62,-3.87,-8.11,0.09,0.00,0.07
-0.72,-4.19,-7.94,-0.02,-0.16,-0.04
-1.08,-4.12,-8.74,-0.06,-0.14,-0.01
-1.07,-3.45,-8.44,-0.07,-0.03,0.03
-0.85,-3.83,-8.65,-0.01,-0.04,0.06
-0.68,-4.22,-8.14,0.11,-0.01,0.02
-0.39,-4.24,-8.01,-0.13,0.01,0.06
-0.39,-3.93,-8.30,-0.14,0.01,-0.03
-0.45,-3.61,-9.07,-0.28,-0.01,-0.01
