mX,mY,mZ 
36.62,-45.70,2.93
37.69,-47.85,2.93
37.16,-45.52,3.44
37.69,-45.34,3.27
38.05,-44.27,2.58
37.16,-47.32,2.41
35.73,-45.52,2.41
37.34,-45.70,2.93
39.12,-47.85,3.27
37.87,-46.24,3.10
36.26,-46.42,2.58
37.34,-47.14,4.30
37.87,-46.96,2.07
37.34,-46.06,1.89
38.41,-46.42,2.24
37.34,-47.14,2.58
36.98,-46.42,1.89
36.26,-45.70,2.58
36.98,-46.06,1.21
37.16,-45.52,1.72
36.44,-45.52,2.41
38.05,-48.93,3.27
37.87,-49.82,2.07
36.62,-47.85,3.96
35.73,-48.75,3.44
36.44,-48.75,3.10
36.08,-49.11,2.07
37.16,-49.47,3.10
36.62,-49.65,2.93
37.69,-49.29,3.27
36.62,-48.57,3.62
37.51,-49.47,2.76
37.69,-49.29,3.62
37.34,-49.29,3.96
36.98,-49.65,3.27
37.34,-49.29,3.96
36.62,-49.65,3.96
37.87,-50.54,2.76
36.98,-48.21,2.58
36.98,-49.29,3.62
37.34,-50.00,2.24
37.34,-48.93,2.24
36.62,-51.08,3.96
36.08,-51.26,1.38
36.98,-51.08,1.55
36.80,-51.80,1.21
36.98,-50.72,1.89
37.87,-50.90,1.38
36.98,-50.72,2.24
36.80,-49.82,2.07
36.98,-49.65,3.27
35.55,-49.82,2.41
36.44,-50.18,1.72
37.16,-49.82,2.76
36.44,-50.18,0.69
36.08,-49.47,2.07
37.34,-50.00,1.21
36.44,-48.75,1.03
36.98,-49.29,2.24
36.98,-50.00,1.21
36.08,-50.90,1.72
37.34,-51.44,2.58
37.34,-49.29,1.21
36.44,-48.75,2.41
35.01,-51.26,2.07
34.66,-49.11,2.41
37.16,-50.90,2.76
36.26,-51.80,0.86
36.80,-49.47,1.72
35.73,-52.33,1.03
36.98,-49.29,1.89
35.91,-50.36,3.27
35.19,-51.08,1.55
36.26,-51.80,1.21
34.83,-50.36,1.89
36.08,-50.54,2.07
37.69,-49.65,2.93
35.55,-50.36,2.24
36.08,-50.90,1.72
36.08,-49.82,3.10
37.51,-50.90,1.72
38.59,-50.90,0.69
38.41,-50.00,0.86
35.55,-52.15,1.55
37.16,-51.62,0.69
36.80,-51.97,0.34
35.91,-50.36,0.86
35.19,-50.00,1.21
36.26,-50.36,1.55
35.37,-49.82,2.41
36.08,-49.47,2.41
36.80,-49.47,2.07
35.73,-49.82,2.76
35.73,-50.18,2.07
35.19,-51.08,2.93
36.62,-51.08,1.89
35.91,-51.44,1.03
37.69,-50.72,2.58
35.37,-51.26,2.07
35.37,-51.62,1.03
35.37,-51.62,1.03
35.91,-50.36,1.21
36.62,-49.65,2.24
37.16,-49.29,2.58
36.80,-50.90,1.38
35.73,-51.26,1.72
36.26,-52.15,1.89
36.80,-51.26,2.07
36.62,-50.72,1.21
36.44,-50.18,1.03
36.98,-51.08,3.27
35.91,-48.93,2.24
36.08,-49.11,3.44
36.08,-49.82,2.41
35.37,-50.54,1.38
36.80,-50.90,2.76
35.73,-49.11,1.38
35.73,-50.54,2.07
35.37,-49.11,1.38
36.62,-51.08,1.55
36.80,-48.75,1.03
36.44,-50.54,1.72
36.80,-49.82,2.07
36.98,-50.36,1.55
36.80,-49.82,2.07
36.62,-50.72,1.55
36.26,-50.72,1.89
36.80,-50.18,1.72
37.16,-50.54,1.72
38.23,-49.82,1.38
38.05,-50.72,1.21
36.08,-49.82,2.76
38.94,-49.47,2.76
36.44,-48.03,3.10
34.83,-51.08,3.96
37.34,-48.57,2.58
35.91,-48.21,1.55
35.91,-48.57,2.24
36.08,-49.11,3.10
37.87,-49.82,2.07
36.98,-48.21,1.55
36.26,-48.93,2.93
35.73,-48.03,3.44
37.51,-48.75,2.76
36.80,-48.03,2.76
36.44,-48.03,1.38
36.98,-50.00,2.93
36.26,-48.57,1.89
36.80,-49.47,3.10
36.62,-49.29,3.96
37.87,-49.11,2.76
36.44,-48.39,3.10
35.73,-49.47,2.76
35.01,-48.03,3.44
37.34,-48.93,3.27
35.73,-50.18,3.10
36.08,-48.75,2.76
37.34,-49.29,2.93
36.08,-49.82,3.79
36.80,-49.82,3.10
37.34,-48.93,3.27
36.98,-48.57,3.62
36.80,-48.39,3.10
36.44,-49.11,2.07
36.44,-49.11,2.07
37.87,-47.67,3.79
36.98,-49.29,2.24
36.08,-49.11,2.76
36.62,-50.00,2.24
36.80,-49.47,3.79
37.34,-48.57,3.27
35.73,-49.11,3.44
36.80,-48.39,2.76
36.44,-48.75,3.79
35.91,-48.93,2.58
37.34,-48.57,3.96
37.69,-49.29,3.96
36.98,-49.29,4.99
36.08,-49.47,3.79
38.05,-48.57,2.24
37.51,-50.18,4.48
37.51,-49.47,3.44
36.62,-50.00,4.30
36.26,-49.29,5.34
35.37,-49.47,3.10
36.98,-51.44,3.96
36.44,-50.18,3.44
36.26,-48.57,4.65
36.44,-47.67,3.79
38.59,-49.11,4.13
35.37,-49.11,3.44
37.34,-47.32,3.10
37.34,-49.65,3.62
36.44,-49.11,3.79
36.26,-48.93,4.65
36.26,-48.57,3.62
37.51,-49.11,3.44
36.98,-48.21,3.27
37.34,-48.93,3.27
35.73,-48.39,3.44
36.98,-48.57,3.96
37.87,-48.03,2.76
36.98,-48.21,4.30
36.80,-48.75,4.48
38.59,-47.32,4.82
36.08,-48.39,4.13
37.16,-48.75,3.79
36.80,-46.96,4.13
38.05,-48.21,4.65
38.59,-47.67,4.48
38.23,-48.39,2.76
36.80,-47.67,4.82
37.87,-47.67,3.79
36.80,-47.67,4.13
35.37,-48.39,3.10
36.44,-47.67,4.48
36.08,-48.39,4.48
36.98,-48.21,3.96
37.34,-46.06,3.96
36.26,-48.21,4.65
36.80,-48.75,3.44
36.98,-47.85,3.62
36.62,-48.21,4.30
37.51,-49.11,4.82
38.23,-49.47,4.13
35.91,-48.21,3.62
38.23,-49.82,4.13
37.34,-48.21,4.30
37.16,-48.39,4.13
36.98,-48.93,3.96
36.62,-48.21,3.62
36.26,-47.85,3.96
36.62,-48.93,4.99
36.98,-48.57,3.96
35.91,-48.93,4.65
37.34,-48.21,5.34
36.80,-47.32,4.13
36.62,-48.21,4.30
36.26,-49.29,4.65
36.08,-48.75,3.44
36.26,-48.57,4.99
35.73,-48.39,5.17
36.62,-49.29,3.27
36.08,-48.75,4.82
37.87,-48.03,3.10
36.62,-47.49,4.99
36.98,-48.39,4.82
37.16,-49.11,3.10
36.80,-46.96,3.10
36.26,-47.49,5.34
36.44,-49.11,5.85
37.16,-46.96,4.48
37.51,-47.32,4.13
36.80,-47.32,4.48
38.23,-48.39,5.34
37.51,-46.60,6.20
35.37,-45.88,5.17
36.08,-46.24,6.20
37.16,-45.88,5.85
38.05,-46.42,4.30
36.08,-44.81,5.85
37.16,-46.60,5.85
37.16,-46.96,5.85
37.51,-46.60,5.85
37.34,-47.14,5.34
36.98,-46.42,4.99
37.51,-46.24,5.51
36.98,-46.06,4.65
35.91,-49.29,2.58
37.51,-49.47,2.76
37.34,-47.14,4.65
37.69,-48.21,4.65
35.91,-47.49,4.65
36.44,-46.96,3.79
36.26,-47.85,3.96
37.16,-48.39,3.79
37.51,-48.03,3.44
37.34,-50.00,3.62
37.34,-48.93,4.65
37.51,-48.03,3.79
36.98,-48.57,3.27
36.08,-49.47,2.76
37.16,-49.11,2.76
36.08,-51.26,3.10
36.26,-48.93,3.27
36.26,-50.36,2.93
36.80,-49.82,4.48
36.44,-48.03,2.07
37.16,-49.47,2.76
37.69,-49.65,3.96
36.80,-48.75,3.44
36.98,-50.36,3.62
36.26,-49.29,3.96
36.80,-49.11,3.44
36.98,-48.57,3.27
36.80,-49.82,4.48
36.80,-49.11,4.82
37.34,-47.85,3.96
36.26,-49.65,2.93
36.62,-48.57,4.30
36.62,-48.93,3.27
35.73,-47.32,3.44
35.73,-50.18,4.13
37.69,-50.72,3.62
35.91,-49.29,3.96
36.62,-50.00,3.96
37.34,-50.00,3.96
36.44,-48.39,3.44
36.62,-49.65,3.96
37.69,-48.93,3.62
37.34,-49.65,2.58
36.26,-47.85,4.30
36.62,-50.36,1.89
37.34,-50.00,3.96
36.08,-48.03,2.76
37.34,-49.29,2.93
37.51,-49.82,4.48
37.51,-48.03,4.13
36.80,-49.11,4.13
35.91,-49.29,2.24
37.34,-48.21,2.58
36.98,-48.93,5.68
37.16,-47.67,2.41
36.44,-48.39,3.44
36.26,-48.57,2.93
38.05,-47.85,3.62
37.34,-49.29,3.27
37.87,-48.75,3.44
37.34,-49.29,3.27
37.16,-48.75,3.79
37.69,-50.36,3.27
37.34,-48.93,2.93
38.94,-49.47,2.76
36.98,-48.57,2.93
37.34,-49.65,3.96
35.19,-48.57,4.30
35.91,-48.93,3.27
36.80,-48.39,4.48
36.26,-47.14,2.58
36.98,-48.21,3.27
36.80,-49.47,2.76
35.91,-48.93,4.99
36.98,-48.57,3.27
36.98,-49.65,3.96
37.34,-48.93,3.27
36.80,-48.03,1.72
36.80,-50.54,3.44
36.98,-48.57,3.96
35.73,-47.67,2.76
36.26,-47.85,3.62
36.08,-47.32,2.41
37.87,-48.03,4.48
36.08,-48.03,4.13
36.44,-49.47,5.17
36.08,-48.39,3.10
36.26,-48.57,3.27
36.44,-47.67,4.13
36.62,-48.21,5.34
37.69,-48.21,4.65
37.51,-48.39,3.10
38.05,-48.93,2.93
38.05,-48.93,2.24
36.26,-47.32,2.07
36.98,-49.65,4.99
