aX,aY,aZ 
-9.46,-0.87,-0.68
-9.57,-0.86,-0.65
-9.62,-0.76,-0.60
-9.65,-0.75,-0.63
-9.62,-0.71,-0.65
-9.57,-0.73,-0.45
-9.62,-0.86,-0.45
-9.38,-0.82,-0.44
-9.62,-0.79,-0.57
-9.53,-0.85,-0.57
-9.58,-0.86,-0.46
-9.48,-0.70,-0.39
-9.51,-0.79,-0.26
-9.46,-0.68,-0.41
-9.63,-0.77,-0.43
-9.54,-0.88,-0.47
-9.56,-0.81,-0.34
-9.61,-0.76,-0.41
-9.61,-0.60,-0.39
-9.60,-0.66,-0.27
-9.69,-0.79,-0.30
-9.56,-0.83,-0.45
-9.58,-0.68,-0.28
-9.58,-0.66,-0.19
-9.50,-0.57,-0.09
-9.56,-0.66,-0.13
-9.61,-0.72,-0.19
-9.70,-0.72,-0.12
-9.59,-0.66,0.00
-9.53,-0.44,-0.06
-9.57,-0.91,-0.03
-9.67,-0.64,-0.09
-9.41,-0.75,0.15
-9.50,-0.74,0.16
-9.55,-0.79,0.04
-9.58,-0.63,0.01
-9.92,-0.55,0.07
-9.61,-0.46,0.31
-9.51,-0.31,0.21
-9.56,-0.54,0.03
-9.39,-0.74,0.17
-9.41,-0.50,0.15
-9.70,-0.61,0.15
-9.46,-0.45,0.31
-9.49,-0.60,0.23
-9.52,-0.55,0.15
-9.48,-0.51,0.25
-9.53,-0.52,0.16
-9.50,-0.52,0.13
-9.57,-0.56,0.26
-9.55,-0.54,0.23
-9.60,-0.45,0.31
-9.47,-0.61,0.26
-9.56,-0.49,0.32
-9.52,-0.52,0.29
-9.49,-0.47,0.29
-9.56,-0.50,0.34
-9.49,-0.62,0.32
-9.63,-0.55,0.29
-9.54,-0.55,0.23
-9.52,-0.51,0.29
-9.57,-0.45,0.32
-9.53,-0.53,0.37
-9.52,-0.53,0.30
-9.58,-0.42,0.37
-9.63,-0.50,0.33
-9.63,-0.35,0.25
-9.55,-0.48,0.31
-9.57,-0.45,0.25
-9.51,-0.37,0.28
-9.54,-0.60,0.30
-9.52,-0.45,0.27
-9.54,-0.54,0.31
-9.56,-0.43,0.28
-9.56,-0.51,0.23
-9.55,-0.45,0.26
-9.54,-0.48,0.26
-9.51,-0.58,0.25
-9.56,-0.43,0.23
-9.51,-0.52,0.29
-9.59,-0.49,0.26
-9.50,-0.48,0.32
-9.56,-0.49,0.24
-9.50,-0.52,0.26
-9.51,-0.48,0.23
-9.52,-0.51,0.30
-9.54,-0.48,0.31
-9.49,-0.49,0.30
-9.51,-0.47,0.27
-9.56,-0.56,0.30
-9.51,-0.47,0.30
-9.59,-0.48,0.27
-9.52,-0.61,0.33
-9.53,-0.43,0.35
-9.52,-0.45,0.32
-9.52,-0.51,0.32
-9.47,-0.45,0.31
-9.53,-0.61,0.29
-9.54,-0.47,0.26
-9.54,-0.53,0.34
-9.54,-0.43,0.31
-9.52,-0.47,0.27
-9.56,-0.45,0.26
-9.59,-0.44,0.26
-9.50,-0.44,0.24
-9.62,-0.49,0.20
-9.55,-0.54,0.29
-9.57,-0.53,0.27
-9.54,-0.43,0.32
-9.56,-0.45,0.16
-9.60,-0.67,0.21
-9.60,-0.45,0.29
-9.54,-0.50,0.31
-9.55,-0.57,0.20
-9.54,-0.61,0.17
-9.61,-0.54,0.31
-9.49,-0.49,0.34
-9.60,-0.52,0.18
-9.49,-0.47,0.25
-9.55,-0.50,0.29
-9.51,-0.48,0.25
-9.57,-0.53,0.26
-9.56,-0.42,0.22
-9.48,-0.49,0.32
-9.58,-0.49,0.29
-9.53,-0.48,0.22
-9.52,-0.50,0.34
-9.61,-0.43,0.34
-9.53,-0.55,0.22
-9.54,-0.53,0.32
