mX,mY,mZ 
38.76,-32.08,-21.18
39.30,-31.54,-20.32
38.76,-31.36,-20.84
39.12,-32.44,-20.49
37.51,-34.05,-19.63
38.41,-33.34,-20.32
39.66,-30.65,-21.18
38.59,-31.54,-19.97
39.48,-32.08,-19.46
38.94,-32.62,-19.63
39.12,-31.01,-21.52
39.66,-31.54,-19.97
39.12,-32.08,-21.18
38.41,-32.08,-19.46
39.66,-31.90,-19.29
38.59,-31.18,-21.35
39.66,-31.18,-19.97
38.76,-32.80,-19.46
39.12,-32.08,-19.11
38.59,-31.18,-19.29
40.19,-32.44,-18.42
39.12,-32.80,-18.77
39.12,-31.36,-18.42
40.19,-32.80,-20.49
38.41,-32.44,-17.74
38.59,-33.34,-18.94
39.48,-33.87,-17.05
39.48,-32.08,-18.08
40.37,-30.83,-18.60
38.94,-31.54,-18.25
38.05,-32.44,-18.08
39.84,-30.65,-19.11
38.76,-31.01,-18.42
40.37,-30.83,-18.25
39.66,-32.98,-19.29
40.19,-32.80,-17.74
40.19,-32.44,-17.74
38.94,-32.26,-19.29
39.84,-32.08,-18.42
40.01,-31.18,-18.60
40.19,-32.44,-17.05
40.01,-32.62,-16.53
40.37,-33.69,-17.22
40.19,-33.16,-17.05
40.91,-33.51,-18.08
40.37,-34.41,-18.25
40.91,-32.08,-18.08
41.44,-32.98,-17.22
39.30,-34.05,-17.56
40.55,-33.16,-18.08
39.48,-33.87,-17.39
39.12,-33.16,-16.36
40.73,-32.98,-16.19
40.19,-32.44,-18.42
39.84,-33.51,-16.70
38.94,-34.77,-17.56
39.66,-34.41,-17.22
38.94,-34.05,-16.88
40.55,-34.95,-17.74
40.19,-34.59,-17.39
39.12,-32.80,-16.70
39.66,-33.34,-17.91
40.73,-32.62,-17.22
41.27,-33.16,-18.08
39.66,-32.62,-17.56
40.55,-33.87,-18.08
39.84,-33.16,-16.01
39.66,-33.34,-18.25
39.48,-32.44,-17.39
41.09,-32.62,-17.56
39.84,-34.23,-16.36
39.66,-35.13,-17.56
40.01,-32.62,-17.22
39.66,-35.13,-16.88
41.44,-32.98,-15.50
40.73,-32.62,-18.25
40.55,-33.87,-17.05
40.73,-32.98,-17.22
40.37,-34.05,-17.22
39.12,-34.59,-16.36
40.01,-34.05,-17.56
38.94,-33.69,-17.22
39.84,-33.16,-18.08
40.55,-35.31,-18.77
41.09,-33.69,-16.53
40.19,-33.16,-17.39
40.37,-32.98,-18.25
40.91,-33.87,-18.08
40.91,-33.51,-17.74
40.55,-33.51,-16.70
39.12,-33.51,-16.70
39.30,-33.34,-16.19
40.37,-34.41,-16.88
40.19,-34.23,-15.33
40.37,-33.34,-16.88
42.16,-32.62,-17.91
40.73,-34.05,-19.63
40.01,-33.69,-16.53
42.16,-32.98,-16.19
40.01,-34.05,-17.22
38.76,-33.87,-17.74
40.91,-33.51,-18.42
41.09,-34.05,-16.88
40.73,-32.62,-17.91
41.44,-33.69,-16.88
40.91,-34.23,-17.05
41.09,-33.69,-17.56
40.55,-34.23,-16.01
40.01,-34.95,-16.36
41.27,-33.87,-17.74
39.12,-34.23,-16.01
40.91,-34.23,-17.39
40.37,-33.34,-17.56
40.73,-34.05,-16.88
40.01,-34.41,-16.19
39.30,-34.77,-17.22
41.09,-33.69,-17.91
39.30,-34.77,-16.53
40.55,-33.51,-17.39
41.27,-33.51,-17.39
40.55,-34.23,-17.39
40.37,-33.69,-17.22
40.01,-32.98,-16.53
40.55,-33.87,-17.74
40.73,-33.51,-17.05
39.66,-33.69,-17.56
39.48,-33.51,-17.74
39.12,-33.16,-17.05
40.91,-34.23,-17.05
41.09,-33.69,-18.25
39.48,-34.59,-18.08
40.37,-33.69,-15.50
39.84,-33.51,-17.74
40.37,-33.34,-17.22
39.48,-33.51,-16.36
41.27,-33.87,-17.74
40.19,-33.51,-17.39
40.01,-33.69,-16.88
40.91,-34.95,-18.08
