mX,mY,mZ 
41.09,-64.52,-25.14
40.91,-63.62,-26.69
40.91,-63.62,-27.72
39.66,-65.24,-25.83
40.55,-64.34,-25.31
40.55,-65.06,-26.00
40.91,-64.70,-26.00
33.76,-52.87,-20.15
32.69,-51.44,-20.15
33.05,-51.80,-21.18
35.55,-53.23,-19.80
35.73,-55.92,-22.73
36.80,-56.99,-21.70
38.76,-59.68,-23.59
38.59,-60.58,-23.42
38.94,-60.58,-25.14
38.23,-59.14,-25.48
38.76,-60.04,-24.62
37.16,-59.50,-24.11
38.41,-59.32,-24.28
39.48,-59.68,-24.62
38.59,-59.86,-24.11
39.30,-59.86,-25.83
38.05,-58.25,-24.28
38.76,-59.32,-24.28
38.94,-60.22,-23.42
37.87,-58.43,-24.11
38.76,-61.12,-23.25
37.69,-60.04,-22.73
39.30,-61.65,-24.97
39.48,-61.47,-24.28
40.91,-61.12,-23.94
38.41,-61.12,-25.31
40.37,-62.01,-24.11
40.73,-61.29,-24.45
40.19,-61.12,-25.66
38.94,-61.29,-24.80
38.94,-61.65,-25.14
39.84,-62.19,-24.28
39.30,-63.09,-24.80
40.73,-60.58,-24.45
38.59,-62.01,-24.80
39.12,-61.83,-24.62
39.66,-62.01,-24.80
40.19,-62.19,-24.62
39.48,-61.47,-25.31
38.59,-62.73,-25.83
39.66,-61.65,-25.14
40.01,-61.65,-24.11
39.66,-63.09,-24.11
39.66,-62.01,-23.07
38.59,-62.73,-25.14
40.55,-63.62,-23.59
38.23,-62.73,-24.45
40.37,-62.73,-24.45
38.76,-61.83,-24.97
40.37,-62.73,-24.11
39.66,-62.01,-24.11
40.55,-61.83,-23.59
41.44,-63.09,-24.45
40.37,-62.73,-24.11
38.59,-62.37,-24.45
39.66,-63.45,-24.45
40.73,-61.29,-25.14
39.48,-63.27,-24.28
40.19,-62.55,-23.59
39.84,-62.91,-26.35
40.55,-61.83,-24.62
40.73,-62.01,-23.76
41.44,-61.83,-25.31
39.30,-62.37,-23.76
41.44,-63.45,-23.76
41.62,-63.27,-23.94
40.37,-61.65,-24.11
40.01,-62.01,-24.80
40.19,-62.91,-23.94
39.84,-62.55,-24.62
39.66,-61.65,-24.97
40.37,-61.29,-24.80
39.48,-62.19,-24.28
40.91,-62.19,-24.97
38.94,-62.01,-23.76
39.84,-61.83,-24.62
40.01,-63.09,-25.83
39.48,-62.55,-24.28
40.19,-62.19,-23.25
39.12,-61.83,-23.94
38.76,-61.12,-24.28
41.62,-61.47,-23.59
39.84,-63.62,-24.28
40.73,-62.01,-25.48
39.84,-62.55,-23.94
39.48,-62.55,-24.62
40.01,-62.73,-25.14
39.48,-62.55,-24.62
38.94,-63.09,-24.80
39.30,-63.45,-23.07
40.55,-63.27,-24.62
41.80,-61.65,-24.11
39.84,-61.83,-24.97
41.09,-63.45,-24.80
38.76,-62.19,-23.94
40.01,-61.65,-24.80
40.73,-61.83,-24.28
39.66,-62.01,-24.45
38.23,-60.94,-25.14
39.66,-61.65,-24.45
39.48,-61.47,-23.94
38.23,-62.37,-24.80
39.48,-61.12,-24.97
39.66,-60.94,-24.45
38.94,-62.73,-24.80
41.44,-62.37,-25.48
39.84,-61.47,-25.31
39.84,-60.76,-26.00
41.09,-60.94,-24.45
39.66,-62.01,-23.76
39.66,-62.37,-25.14
39.30,-60.58,-24.11
40.37,-63.09,-23.76
39.12,-62.55,-25.31
40.19,-61.83,-26.00
40.91,-62.55,-23.59
40.01,-63.09,-21.35
39.66,-62.01,-21.35
40.55,-62.91,-20.84
38.94,-62.01,-19.97
40.55,-61.12,-22.56
39.84,-62.55,-21.87
39.48,-62.91,-21.87
39.48,-62.55,-21.18
40.91,-62.55,-23.59
42.16,-62.73,-22.73
40.19,-62.55,-24.62
39.66,-62.73,-24.11
40.37,-63.45,-23.42
41.27,-63.27,-22.90
39.66,-63.80,-23.76
39.48,-62.55,-23.25
39.66,-62.55,-23.59
39.84,-61.47,-23.94
38.23,-61.65,-23.76
41.80,-63.09,-24.11
40.73,-63.45,-25.48
39.12,-62.91,-24.28
39.48,-62.55,-24.62
40.01,-63.09,-21.70
41.62,-63.98,-12.57
41.09,-68.46,-4.13
37.69,-76.53,4.65
33.76,-85.13,11.19
27.15,-91.40,14.81
25.19,-93.38,16.70
21.97,-97.68,18.08
18.58,-96.06,19.63
17.15,-96.06,20.66
19.29,-98.57,19.29
17.15,-99.29,18.94
16.97,-100.90,18.42
16.43,-101.08,19.29
16.08,-100.72,19.29
