gX,gY,gZ 
0.29,0.60,-0.58
0.68,0.52,-0.60
0.72,0.47,-0.58
-0.19,0.19,0.16
-1.11,0.43,-0.72
0.19,0.52,-1.38
0.49,0.23,-1.03
-1.57,0.58,-0.25
0.43,0.56,0.23
3.96,0.89,1.85
1.75,-0.06,5.42
3.61,-0.39,4.37
1.75,-3.81,2.58
-5.95,-0.06,7.27
5.30,-0.51,1.26
1.48,0.19,-1.20
0.70,0.23,-1.01
-0.37,0.41,0.35
0.47,0.95,-2.49
0.33,0.97,-1.87
-2.33,0.80,-0.00
-0.58,0.85,-0.41
2.93,0.56,-1.13
0.58,0.85,-0.25
-0.49,0.51,-0.21
-1.20,-0.08,0.23
-0.56,-0.35,-0.37
2.00,-0.31,0.56
0.95,0.16,1.11
0.17,-0.04,0.84
0.17,0.31,-0.06
-0.91,-0.23,-0.85
-1.24,0.25,-0.56
1.79,1.28,-0.27
1.61,0.80,-0.31
3.28,-0.10,2.14
0.66,0.35,-0.60
-1.38,0.64,-0.39
-0.06,0.51,-0.82
-0.62,0.45,-0.58
1.24,0.62,-0.51
-1.24,0.29,-0.41
-0.25,0.41,-0.41
-0.93,0.54,-0.60
-0.14,0.47,-0.39
0.02,0.60,-0.37
0.74,0.58,-0.08
-0.14,0.60,-0.29
-0.14,0.49,-0.43
-0.21,0.47,-0.41
-0.02,0.37,-0.47
0.56,0.52,-0.49
-0.31,0.64,-0.82
0.27,0.52,-0.23
0.82,0.49,-0.78
0.58,0.52,-0.60
0.16,0.66,-0.35
0.17,0.58,-0.56
0.00,0.33,-0.37
-0.10,0.29,-0.27
-0.45,0.39,-0.41
-0.31,0.51,-0.35
-0.10,0.52,-0.41
0.16,0.49,-0.21
0.31,0.45,-0.51
0.04,0.51,-0.60
-0.23,0.58,-0.41
0.49,0.51,-0.35
0.52,0.64,-0.45
0.54,0.49,-0.60
0.51,0.49,-0.56
0.60,0.52,-0.37
0.14,0.29,-0.51
0.04,0.41,-0.43
0.23,0.47,-0.58
0.10,0.52,-0.66
-0.39,0.39,-0.35
-0.10,0.51,-0.52
0.39,0.49,-0.58
-0.17,0.45,-0.51
-0.02,0.45,-0.27
-0.21,0.43,-0.39
0.49,0.43,-0.51
0.08,0.47,-0.47
0.06,0.51,-0.43
0.37,0.37,-0.49
0.12,0.51,-0.43
-0.08,0.43,-0.43
-0.25,0.52,-0.58
-0.16,0.52,-0.72
0.39,0.41,-0.45
0.14,0.54,-0.49
0.16,0.39,-0.27
-0.14,0.54,-0.58
0.08,0.47,-0.56
-0.47,0.47,-0.41
0.16,0.56,-0.47
0.33,0.31,-0.41
0.39,0.41,-0.45
0.27,0.45,-0.60
-0.23,0.51,-0.54
-0.23,0.56,-0.60
-0.29,0.47,-0.35
0.54,0.58,-0.47
0.93,0.52,-0.47
0.10,0.51,-0.47
-0.25,0.37,-0.62
0.23,0.45,-0.60
0.43,0.33,-0.47
0.04,0.31,-0.58
-0.56,0.54,-0.51
-0.27,0.35,-0.35
0.68,0.37,-0.41
-0.06,0.52,-0.51
-0.08,0.29,-0.33
-0.25,0.29,-0.29
-0.06,0.56,-0.60
0.45,0.43,-0.35
-0.12,0.35,-0.33
0.02,0.49,-0.41
0.60,0.54,-0.49
-2.08,1.17,-0.21
-8.20,1.63,-0.82
-8.35,0.00,-0.80
-5.87,-0.39,-0.19
-9.46,-0.52,-1.73
1.90,-0.91,0.84
6.96,-1.57,1.32
4.39,1.20,-0.72
4.04,0.66,-0.45
7.03,0.41,-0.78
2.08,0.68,0.39
6.35,-0.84,-1.87
0.27,0.91,0.45
-1.94,0.41,-0.41
-0.43,1.24,0.14
-0.27,0.39,-0.00
-0.19,0.33,-0.00
0.12,0.64,-0.25
1.13,0.29,-0.84
0.19,0.25,-0.23
1.50,0.31,-0.68
0.51,0.45,-0.52
0.10,0.82,-0.49
0.12,0.39,-0.74
-3.75,2.21,-0.76
-5.21,8.45,0.41
-11.17,18.38,4.35
-10.98,21.92,8.63
-9.56,22.13,12.94
-13.54,20.07,13.04
-9.97,15.02,14.32
-5.71,12.69,14.03
2.21,6.06,16.55
-4.04,5.52,5.34
-1.36,-0.37,2.49
-2.25,-0.16,0.84
3.87,0.99,0.35
-3.69,1.87,0.76
3.65,-3.77,7.46
6.88,-4.93,10.90
2.62,-8.72,14.14
4.57,-8.45,15.81
2.56,-4.95,4.53
7.89,0.43,-5.95
-4.33,5.95,-13.27
1.05,6.20,-10.88
0.37,2.84,-4.31
1.05,0.37,-0.60
-0.19,0.51,-0.87
-0.23,0.33,-0.70
0.41,-0.08,-0.93
2.43,0.54,0.45
0.58,0.31,0.62
-0.78,0.23,1.73
3.56,-1.19,10.37
-0.64,-3.77,16.32
-5.15,-8.28,20.90
-3.09,-12.32,24.67
-3.05,-15.46,18.96
3.46,-9.29,15.68
-5.25,-4.76,2.84
-2.27,0.45,0.25
-2.47,-0.10,-2.31
-26.05,2.23,-1.83
-13.54,4.64,2.33
-19.12,4.43,-1.07
-19.89,5.52,-2.27
-22.46,5.32,-3.65
-19.49,7.81,-2.06
-10.39,6.82,0.27
0.93,4.60,0.64
0.78,1.63,-0.31
0.78,1.67,-0.58
0.72,2.33,-1.03
1.52,3.23,0.17
7.79,14.90,4.06
8.80,26.19,3.77
7.05,25.35,1.75
-1.40,24.21,-3.36
-0.10,23.68,-3.19
-6.12,17.45,-4.95
-8.02,6.78,-3.57
2.12,3.15,-0.93
1.77,1.92,-1.65
5.71,1.88,-4.08
4.72,0.56,-4.49
5.46,-0.72,-4.88
2.82,-1.85,-4.64
2.80,-2.70,-0.41
2.68,-4.24,-2.70
-0.33,-2.68,-1.92
-0.87,-3.13,-1.26
2.99,-0.27,-0.66
-2.58,-0.12,-0.12
3.17,-3.77,1.03
5.95,-8.67,2.66
5.27,-14.24,5.71
2.10,-16.79,4.37
4.60,-18.38,4.14
4.82,-21.74,3.94
5.56,-21.37,3.44
3.23,-6.24,2.04
2.25,-2.68,-1.28
-2.43,-8.53,2.72
1.36,-12.67,3.65
-3.23,-12.30,0.64
2.55,-12.26,0.74
-2.39,-7.19,1.50
-0.47,-6.29,0.29
1.36,1.13,-1.96
1.65,1.96,-1.69
1.81,0.21,-1.40
9.07,1.77,-3.73
14.94,3.23,-4.12
23.06,3.83,-2.27
19.29,3.79,-1.42
8.43,1.81,0.84
4.49,1.52,0.49
-3.44,0.35,-1.77
-0.16,0.12,-0.99
-1.67,1.11,-1.15
-12.22,3.13,-0.35
-28.38,2.56,-2.47
-26.25,2.55,-3.54
-24.52,2.41,-3.28
-27.32,4.22,-3.30
-26.64,5.56,-2.18
-17.29,5.95,-1.17
-2.72,2.49,-0.89
3.83,0.68,-0.41
1.01,0.62,-0.25
0.58,0.64,-0.80
0.08,1.13,-0.64
-0.43,0.49,-0.72
-3.44,0.41,-0.95
-8.57,3.46,-2.43
-10.90,3.07,-0.66
-7.11,5.98,-0.27
-1.07,6.84,-1.55
4.16,5.65,-0.45
3.26,10.39,4.76
4.78,17.54,11.46
1.63,19.60,11.05
1.75,20.44,9.36
0.43,17.89,6.88
1.52,18.32,2.08
-2.53,18.67,-0.06
4.24,16.07,-1.46
-0.23,4.45,0.97
4.10,1.96,-0.33
1.73,-1.30,-0.02
2.00,-1.38,0.39
0.51,-0.37,-0.27
7.89,1.90,1.88
19.93,3.36,5.48
27.78,3.57,8.94
29.63,3.19,9.75
25.26,2.58,9.44
23.59,-2.35,7.67
6.24,-5.54,0.16
-1.32,-1.52,-0.47
-0.41,-0.93,-1.03
-1.79,-5.07,-4.70
3.52,-13.29,-12.49
9.36,-26.05,-17.29
19.91,-27.28,-18.11
15.41,-23.18,-12.76
20.90,-21.29,0.58
12.30,-17.91,7.42
11.85,-6.55,5.85
4.00,-1.07,-0.87
0.49,-0.51,-1.96
-0.10,-1.05,-0.35
-1.83,-0.08,0.04
0.16,0.72,-0.00
-1.17,1.26,-0.35
0.39,0.66,-0.41
-0.68,0.41,-0.27
-0.49,0.43,-0.06
-0.33,1.52,-0.85
-0.93,1.92,-0.58
-1.90,0.97,-1.17
-2.16,0.47,-0.91
-8.12,-0.68,-2.12
-25.65,1.42,-4.12
-28.15,6.49,-3.42
-23.22,8.63,1.19
-32.12,10.80,10.51
-11.29,8.63,28.83
-10.28,3.28,33.79
-1.55,-4.39,38.43
2.23,-6.55,41.69
11.83,-11.02,38.31
15.25,-14.16,34.41
20.94,-14.16,28.66
21.95,-7.40,25.55
20.34,-8.47,23.59
7.95,-8.51,18.36
2.84,-8.67,11.97
2.06,-2.58,0.41
-5.23,8.78,-11.19
-12.10,14.45,-26.58
-10.26,17.21,-27.01
-3.52,15.91,-26.79
-1.50,14.59,-23.37
-16.67,10.18,-19.95
-18.05,9.79,-21.58
-18.73,10.51,-25.74
-14.90,8.26,-24.42
1.42,2.88,-17.08
1.59,-3.69,-6.00
11.87,-6.37,21.20
12.28,-10.20,31.53
12.24,-23.33,38.51
8.67,-28.56,37.01
12.18,-29.71,23.62
0.14,-20.05,15.12
24.56,-16.49,15.93
10.30,-8.72,8.86
-5.21,-0.84,-4.60
-6.10,11.52,-12.76
-9.25,17.97,-21.43
-17.00,22.21,-26.62
-20.75,26.48,-24.32
-11.13,30.76,-20.36
-12.47,31.34,-18.03
1.55,18.05,-23.45
-1.69,16.67,-29.59
-1.55,6.61,-31.63
-10.74,0.35,-22.48
3.77,-3.81,8.53
6.33,-9.42,23.02
4.90,-15.23,29.53
5.23,-23.55,27.14
8.84,-29.36,27.02
9.66,-31.32,24.77
9.23,-19.95,18.98
12.43,-20.81,15.70
17.33,-21.92,13.25
19.64,-12.16,10.22
4.74,-1.05,-4.16
-13.48,15.02,-23.90
-27.04,23.41,-32.93
-25.12,27.98,-27.36
-16.05,31.53,-19.78
-14.80,29.18,-16.32
6.20,26.48,-18.59
-0.10,16.07,-18.20
-3.15,8.41,-13.13
-3.83,2.25,-8.14
4.10,-7.75,5.09
9.21,-15.95,17.45
9.93,-25.80,27.04
10.01,-38.70,33.16
9.58,-30.87,26.09
16.46,-24.19,23.26
24.54,-19.51,22.60
4.88,-21.31,16.53
-2.95,-24.56,8.24
-10.37,-3.26,-0.68
-3.21,12.05,-9.87
-18.98,20.46,-17.49
-23.08,30.77,-19.29
-14.55,34.82,-17.45
-13.09,38.02,-19.35
-19.08,31.16,-20.34
-38.88,34.08,-13.41
17.93,31.26,-5.52
-6.74,16.03,-10.57
3.32,6.74,-9.62
-4.92,4.70,-9.03
4.29,5.05,-11.56
26.54,4.10,-20.85
24.52,8.33,-27.47
33.86,2.39,-30.04
50.82,-11.68,-30.44
36.41,-22.60,-17.25
29.36,-16.44,3.01
22.63,-8.98,6.28
16.49,-2.91,4.86
4.55,-5.09,-3.67
5.50,-0.89,-2.74
-0.76,-0.35,1.38
-4.90,0.10,0.52
-3.71,1.48,-0.08
-8.67,2.06,-0.93
-5.09,3.30,-0.78
-0.47,4.16,-1.01
-4.47,3.30,-3.52
-7.89,0.99,-1.24
1.98,-2.55,1.05
5.54,-3.83,4.62
-7.77,3.44,1.79
-12.32,7.03,4.90
-18.40,12.26,4.92
-26.97,17.35,12.45
-21.16,12.43,15.10
-2.33,2.86,16.88
-0.29,-3.46,20.83
5.77,-8.59,21.64
6.61,-16.53,23.66
14.57,-18.57,18.50
1.57,-21.37,12.67
3.94,-21.08,10.86
13.06,-19.95,7.21
6.64,-17.80,6.45
7.09,-22.09,11.58
0.76,-18.46,9.64
5.52,-11.72,5.91
1.05,-3.17,-0.23
1.98,5.01,-5.65
-0.56,17.66,-10.61
-8.88,22.87,-12.94
-2.76,24.19,-15.23
-6.70,23.84,-16.14
-2.02,24.56,-16.49
-10.98,23.43,-17.16
-21.33,22.75,-17.21
-15.27,19.29,-8.76
-0.99,12.78,-4.37
-2.31,6.96,-3.54
0.54,3.42,-2.23
1.96,6.28,-1.90
9.25,12.53,-8.70
21.74,6.74,-6.70
6.82,6.29,-2.35
-0.49,4.14,-3.13
9.48,1.07,0.62
14.63,1.57,0.82
33.84,3.71,6.00
36.84,1.20,4.53
32.72,-3.24,-0.06
18.88,-5.27,0.17
7.03,-3.26,-0.82
0.64,0.85,0.58
-0.89,-0.10,0.33
-3.69,0.66,0.19
-3.09,6.86,7.17
2.62,8.88,17.21
5.36,10.72,21.53
8.28,7.95,25.33
3.03,3.83,24.09
1.15,2.10,11.83
-0.54,-0.70,-3.67
-4.31,-3.21,-14.28
-7.13,-5.40,-20.50
-9.81,-7.13,-21.78
-15.21,-6.82,-22.65
-10.90,-7.15,-20.11
-7.99,-2.95,-12.98
-0.97,-0.37,0.27
